nr,osoba,werdykt,connection,post,comment
24,Monika Mroczek,skip,"Jedyny rekord PKW zgodny z dekada to kandydatura z 2018 z KOMITETU WYBORCZEGO KOLBUDY 24 (teryt 220403, powiat gdanski, ur. 1988) - komitet wyborcow, bez mandatu, i z drugiego konca kraju wzgledem spolki. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonkini zarzadu PRZEDSIEBIORSTWA WODOCIAGOW I KANALIZACJI ZORY sp. z o.o. (KRS 0000125454, publiczna, teryt 247901 - Zory na Slasku) od 2026-08-12; potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000125454, stan 12.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: strona przypisuje jej te kandydature z Kolbud, ale Kolbudy leza pod Gdanskiem, a spolka jest w Zorach - 500 km dalej. Rocznik akurat pasuje, wiec to nie jest oczywisty blad, tylko zlaczenie na samym imieniu i nazwisku. Nawet gdyby to byla ona, komitet wyborcow bez mandatu nie jest powiazaniem politycznym."
25,Wojciech Rzyczniak,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Prezes zarzadu MIEJSKIEGO ZAKLADU KOMUNIKACYJNEGO W ZYWCU sp. z o.o. (KRS 0000107697, publiczna) od 2026-08-11; potwierdzone, PESEL z cyfra 7. ZRODLO: odpis aktualny KRS 0000107697, stan 11.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
26,PIOTR SZWEDZIŃSKI,publish,"Dwukrotny kandydat Platformy Obywatelskiej w Sosnowcu: 2014 z Komitetu Wyborczego Platforma Obywatelska RP i 2018 z KKW Platforma.Nowoczesna Koalicja Obywatelska, teryt 246501 (miasto Sosnowiec), rocznik 1984. Sosnowiec to siedziba jego pracodawcy. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - tylko dwa rekordy tego imienia i nazwiska w calym wykazie.","Kierownik SAMODZIELNEGO PUBLICZNEGO ZAKLADU OPIEKI ZDROWOTNEJ REJONOWE POGOTOWIE RATUNKOWE W SOSNOWCU (KRS 0000032984) od 2026-08-10. Potwierdzone w odpisie z rejestru S: organ reprezentacji to KIEROWNIK PUBLICZNEGO ZAKLADU OPIEKI ZDROWOTNEJ, sygnatura S**********/P****/K**** (11+5+5), PESEL z cyfra 8, kwalifikacje: ratownik medyczny. ZRODLO: odpis aktualny KRS 0000032984 (rejestr S), stan 26.08.2026, api-krs.ms.gov.pl","verdict=publish || TEZA: dwukrotny kandydat PO w Sosnowcu kieruje sosnowieckim pogotowiem ratunkowym - podleglym marszalkowi wojewodztwa slaskiego, gdzie rzadzi koalicja z PO. || UWAGA: ten podmiot MA rade spoleczna i to jest wazne rozroznienie - dziewiecioro ludzi w radzie spolecznej tego pogotowia nie liczyloby sie, ale on nie jest w radzie, tylko jest kierownikiem, czyli organem wykonawczym. Pulapka nr 1 dotyczy organu nadzoru, nie kierownictwa, i ten wiersz ja przechodzi. Zlaczenie: dwa rekordy w PKW, oba z Sosnowca, rocznik 1984 zgodny z dekada z PESEL-a."
27,Aneta Gajger,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek/czlonkini rady nadzorczej ZAKLAD UTYLIZACJI ODPADOW KOMUNALNYCH ""STARY LAS"" sp. z o.o. (KRS 0000177882, publiczna) od sierpnia 2026; potwierdzone, PESEL z cyfra 7. ZRODLO: odpis aktualny KRS 0000177882, stan 10.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
28,Maciej Stolc,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek/czlonkini rady nadzorczej ZAKLAD UTYLIZACJI ODPADOW KOMUNALNYCH ""STARY LAS"" sp. z o.o. (KRS 0000177882, publiczna) od sierpnia 2026; potwierdzone, PESEL z cyfra 9. ZRODLO: odpis aktualny KRS 0000177882, stan 10.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
29,Jolanta Staruk,maybe,"Jedyny rekord PKW: kandydatka do rady powiatu gryfinskiego w 2018 z KOMITETU WYBORCZEGO WYBORCOW INICJATYWA SAMORZADOWA (teryt 320600, ur. 1963), bez mandatu. Komitet wyborcow, nie partia - ale powiat zgadza sie co do cyfry z siedziba spolki. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonkini rady nadzorczej ""SZPITALA POWIATOWEGO W GRYFINIE"" sp. z o.o. (KRS 0000304531, publiczna) od 2026-08-10; potwierdzone, PESEL z cyfra 6 - zgodne z rocznikiem 1963. WAZNE: mimo ze to szpital, jest to spolka z o.o., a nie SPZOZ - jej organem nadzoru jest RADA NADZORCZA, nie rada spoleczna, wiec pulapka nr 1 tu nie dziala. ZRODLO: odpis aktualny KRS 0000304531, stan 31.08.2026, api-krs.ms.gov.pl","verdict=maybe || TEZA: kandydatka do rady tego samego powiatu, ktory jest wlascicielem szpitala, osiem lat pozniej zasiada w jego radzie nadzorczej. || UWAGA: zlaczenie jest tu nietypowo mocne (jeden jedyny rekord w PKW, zgodny rocznik, zgodny powiat), a slabe jest samo powiazanie - lokalny komitet wyborcow bez mandatu i bez partii. Maybe, nie publish, bo strona dokumentuje polityke, a start z listy ""Inicjatywa Samorzadowa"" nie mowi, z kim ta osoba trzyma. Gdyby udalo sie ustalic, kto ten komitet zarejestrowal i kto dzis rzadzi powiatem gryfinskim, to moze byc publish."
30,Małgorzata Wiszniewska,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek/czlonkini rady nadzorczej PRZEDSIEBIORSTWO GOSPODARKI KOMUNALNEJ ""KOMUNALNIK"" sp. z o.o. (KRS 0000067241, publiczna) od sierpnia 2026; potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000067241, stan 07.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
31,Natalia Hnat,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek/czlonkini rady nadzorczej PRZEDSIEBIORSTWO GOSPODARKI KOMUNALNEJ ""KOMUNALNIK"" sp. z o.o. (KRS 0000067241, publiczna) od sierpnia 2026; potwierdzone, PESEL z cyfra 9. ZRODLO: odpis aktualny KRS 0000067241, stan 07.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
32,Aleksander Zawisza,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek/czlonkini rady nadzorczej PRZEDSIEBIORSTWO ENERGETYKI CIEPLNEJ SOCHACZEW sp. z o.o. (KRS 0000085942, publiczna) od sierpnia 2026; potwierdzone, PESEL z cyfra 7. ZRODLO: odpis aktualny KRS 0000085942, stan 07.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
33,Krystian Jakubowski,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek rady nadzorczej ""WODOCIAGI SLUPSK"" sp. z o.o. (KRS 0000078635, publiczna) od 2026-08-07; potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000078635, stan 07.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
34,Erwin Filipczyk,skip,"Jedyny rekord PKW zgodny z dekada to kandydatura z 2024 z KWW PARTNERSTWO w powiecie kedzierzynsko-kozielskim (teryt 160500, ur. 1963), bez mandatu, z komitetu wyborcow. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek KOMISJI REWIZYJNEJ Izby Gospodarczej ""SLASK"" (KRS 0000076267) od 2026-08-07, po dwudziestu latach w jej zarzadzie (2006-2026); rownolegle czlonek prezydium rady Ogolnopolskiej Izby Gospodarczej Drogownictwa. Obie potwierdzone, PESEL z cyfra 6. ZRODLO: odpis aktualny KRS 0000076267, stan 07.08.2026, api-krs.ms.gov.pl; odpis aktualny KRS 0000026162, stan 30.06.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: wiersz umiera na pracodawcy, a nie na powiazaniu. Izba gospodarcza to samorzad gospodarczy - organizacja przedsiebiorcow, nie podmiot publiczny (is_public=false, organ nadzoru to komisja rewizyjna, a nie rada nadzorcza). To nie jest znany falszywy negatyw flagi: izba naprawde nie ma wlasciciela publicznego. Taki sam los spotyka w tej partii wszystkie cztery wiersze z cechow rzemieslniczych (nr 43, 48, 49, 50, 51)."
35,Zenon Antoni Turowski,maybe,"Piec rekordow PKW zgodnych z dekada (ur. 1973), wszystkie z powiatu krosnienskiego w lubuskiem (teryt 0802): kandydat SLD w 2002, 2010 i 2014 oraz KWW Ponad Podzialami w 2018. Strona przypisuje mu dokladnie te kandydatury i etykietuje go jako SLD. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek rady nadzorczej MIEJSKIEGO PRZEDSIEBIORSTWA OCZYSZCZANIA sp. z o.o. w Szczecinie (KRS 0000033986, publiczna) od 2026-08-06 oraz rady nadzorczej GPK GLOGOW sp. z o.o. (KRS 0000026618, publiczna) od 2024-03-29; obie potwierdzone, PESEL z cyfra 7. Miedzy nimi zarzad PreZero Dolny Slask (prywatna) 2023-2024. ZRODLO: odpis aktualny KRS 0000033986, stan 06.08.2026, api-krs.ms.gov.pl; odpis aktualny KRS 0000026618, stan 29.06.2026, api-krs.ms.gov.pl","verdict=maybe || TEZA: trzykrotny kandydat SLD zbiera rady nadzorcze spolek komunalnych branzy odpadowej w dwoch wojewodztwach naraz. || UWAGA: powiazanie jest realne (lista partyjna, trzy razy), zlaczenie tozsamosci - nie do konca. Kandydatury sa z lubuskiego, a obie posady z zachodniopomorskiego i dolnoslaskiego; to nie wyklucza tej samej osoby (branza odpadowa jest ponadregionalna, a te powiaty nie sa od siebie daleko), ale tez tego nie dowodzi. Strona juz to zlaczenie zrobila i etykietuje go jako SLD - to znaczy, ze blad, jesli jest, juz w danych siedzi. Falsyfikowalne przez pelna date urodzenia z ktoregokolwiek odpisu pelnego."
36,Karol Konieczny,skip,"Jedyny rekord zgodny z dekada: kandydat KOMITETU WYBORCZEGO FORUM SAMORZADOWE GMIN w powiecie sokolowskim na Mazowszu (teryt 143200, ur. 1984), bez mandatu. Spolka jest w Lukowie na Lubelszczyznie. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek rady nadzorczej PRZEDSIEBIORSTWA ENERGETYKI CIEPLNEJ W LUKOWIE sp. z o.o. (KRS 0000064366, publiczna) od 2026-08-06; potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000064366, stan 05.09.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: warto zauwazyc, ze wszedl do tej samej rady nadzorczej, z ktorej szesc dni wczesniej (2026-08-06) wyszedl Piotr Tomasz Karas (nr 9 tej listy). Sama podmianka nie jest dowodem na nic, ale gdyby ktos chcial ciagnac watek PEC Lukow, to jest wlasciwe miejsce."
37,Jacek Bielawski,skip,"BRAK powiazania politycznego: osiem rekordow PKW o tym imieniu i nazwiska, ani jeden nie jest z lat 80., czyli z dekady wynikajacej z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Prezes zarzadu KRAKOW NOWA HUTA PRZYSZLOSCI SA (KRS 0000546817) od 2026-08-06, wczesniej jej prokurent od 2026-07-23; rownolegle prokurent Agencji Rozwoju Gospodarczego Krakow-Wschod sp. z o.o. (KRS 0000040815) od 2026-07-09. Obie potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000546817, stan 25.08.2026, api-krs.ms.gov.pl; odpis aktualny KRS 0000040815, stan 20.07.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: obie spolki maja w bazie is_public=false, a obie sa w rzeczywistosci spolkami Gminy Miejskiej Krakow i wojewodztwa malopolskiego - to jest podejrzenie falszywego negatywu flagi, warte zgloszenia niezaleznie od tego wiersza. Sam wiersz i tak polegl na braku powiazania, wiec nie musialem sie na tym opierac."
38,Tomasz Łapicz,publish,"Kandydat KOMITETU WYBORCZEGO PRAWO I SPRAWIEDLIWOSC do rady powiatu inowroclawskiego w 2014 (teryt 040700, ur. 1977). Kruszwica, gdzie jest jego spolka, lezy w powiecie inowroclawskim. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - jeden rekord, zgodny z dekada z PESEL-a; strona etykietuje go jako PiS z tej samej kandydatury.","Prezes zarzadu PRZEDSIEBIORSTWA KOMUNALNEGO W KRUSZWICY sp. z o.o. (KRS 0000101600, publiczna) od 2026-08-06; potwierdzone, PESEL z cyfra 7. Rownolegle czlonek rady nadzorczej MOGILNO SPORT sp. z o.o. (KRS 0000443274, publiczna) od 2024-06-27 - tez potwierdzone. Wczesniej rada nadzorcza CKK Jordanki w Toruniu (2019-2024) i rada spoleczna sanatorium MSWiA ""Orion"" w Ciechocinku (2017-2024; ta ostatnia sie nie liczy). ZRODLO: odpis aktualny KRS 0000101600, stan 09.09.2026, api-krs.ms.gov.pl; odpis aktualny KRS 0000443274, stan 05.08.2026, api-krs.ms.gov.pl","verdict=publish || TEZA: kandydat PiS do rady powiatu inowroclawskiego zbiera posady w spolkach komunalnych Kujaw od 2017 roku - Ciechocinek, Torun, Mogilno, a od sierpnia prezesura w Kruszwicy. || UWAGA: pulapka nr 1 sprawdzona - jedna z czterech posad (sanatorium ""Orion"") to rada spoleczna SPZOZ i nie liczy sie; pozostale trzy sa radami nadzorczymi albo zarzadem. Zlaczenie oparte na jednym rekordzie PKW - rocznik 1977 zgodny z dekada z PESEL-a i powiat zgodny z siedziba spolki. Jedna przegrana kandydatura sprzed dwunastu lat to niewiele, ale jest z listy partyjnej i jest z tego samego powiatu."
39,Krzysztof Wetta,publish,"Czlonek Prawa i Sprawiedliwosci z wlasnej deklaracji w PKW - trzykrotnie, przy kandydaturach do Sejmu w 2011 i 2019 oraz do rady powiatu leborskiego w 2018. Radny powiatu leborskiego WYBRANY w 2024 z listy KW Prawo i Sprawiedliwosc; kandydowal w Leborku nieprzerwanie od 1998 (ur. 1965/1966). | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - dziewiec kandydatur, wszystkie z powiatu leborskiego albo okregu pomorskiego, wszystkie zgodne z dekada z PESEL-a.","Czlonek rady nadzorczej ZAKLADU KOMUNIKACJI MIEJSKIEJ W LEBORKU sp. z o.o. (KRS 0000130594, publiczna, teryt 220801 - Lebork) od 2026-08-05; potwierdzone, PESEL z cyfra 6. ZRODLO: odpis aktualny KRS 0000130594, stan 05.08.2026, api-krs.ms.gov.pl","verdict=publish || TEZA: czynny radny powiatu leborskiego, deklarowany czlonek PiS, wchodzi do rady nadzorczej leborskiej spolki komunalnej - mandat i nadzor nad spolka w jednym miescie i w jednym czasie. || UWAGA: to najmocniejszy wiersz w calej sierpniowej sesji i jedyny, w ktorym nie mam zadnego zastrzezenia. Deklaracja czlonkostwa pochodzi od niego samego i powtarza sie trzy razy w odstepie osmiu lat, mandat jest biezacy, wszystkie dziewiec kandydatur jest z tego samego powiatu co spolka, a dekada z PESEL-a sie zgadza. Jedyna rzecz do sprawdzenia przed publikacja: w tej samej radzie nadzorczej w tym samym dniu znalezli sie Krzysztof Obolewski (nr 40) i Weronika Gruszkiewicz (nr 42) - cala rada zostala wymieniona 5 sierpnia naraz."
40,Krzysztof Obolewski,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek/czlonkini rady nadzorczej ZAKLAD KOMUNIKACJI MIEJSKIEJ W LEBORKU sp. z o.o. (KRS 0000130594, publiczna) od sierpnia 2026; potwierdzone, PESEL z cyfra 7. ZRODLO: odpis aktualny KRS 0000130594, stan 05.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
41,Tomasz Ogłaza,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek/czlonkini rady nadzorczej ZAKLADY CHEMICZNE ""RUDNIKI"" SA (KRS 0000132241, publiczna) od sierpnia 2026; potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000132241, stan 05.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
42,Weronika Gruszkiewicz,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek/czlonkini rady nadzorczej ZAKLAD KOMUNIKACJI MIEJSKIEJ W LEBORKU sp. z o.o. (KRS 0000130594, publiczna) od sierpnia 2026; potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000130594, stan 05.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
43,Ryszard Waligórski,skip,"Jedyny mocny rekord PKW: kandydat Koalicyjnego Komitetu Wyborczego Akcja Wyborcza Solidarnosc Prawicy do Sejmu w 2001, z deklaracja ""popierany przez ZChN"" - sprzed dwudziestu pieciu lat, bez mandatu, bez rocznika. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek zarzadu CECHU RZEMIOSL ROZNYCH W WOLSZTYNIE (KRS 0000083847) od 2026-08-05; potwierdzone w odpisie z rejestru S, PESEL z cyfra 5. ZRODLO: odpis aktualny KRS 0000083847 (rejestr S), stan 05.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: cech rzemieslniczy nie jest podmiotem publicznym - to organizacja samorzadu gospodarczego, w bazie is_public=false, z komisja rewizyjna zamiast rady nadzorczej. Sierpniowa fala przyniosla piec takich wierszy naraz (nr 43 i 51 z Wolsztyna, nr 48, 49 i 50 z Powiatowego Cechu w Lublincu) - wygladaja jak awans, a sa wyborami wladz organizacji branzowej."
44,Artur Kowalczyk,skip,"Jedyny rekord zgodny z dekada to kandydatura samorzadowa z 1994 bez podanego komitetu (ur. 1965). Cztery pozostale odpadly na dekadzie. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek rady nadzorczej MIEJSKIEGO PRZEDSIEBIORSTWA KOMUNIKACYJNEGO W SIEDLCACH sp. z o.o. (KRS 0000036170, publiczna) od 2026-08-05 oraz rady nadzorczej REMONDIS OTWOCK sp. z o.o. (KRS 0000108326, publiczna) od 2025-11-12; obie potwierdzone, PESEL z cyfra 6. Wczesniej dwadziescia lat w zarzadzie WARS SA (2006-2016 i 2019-2024), zarzad PKP Intercity Remtrak, zarzad Polregio i zarzad PKP Cargo. ZRODLO: odpis aktualny KRS 0000036170, stan 05.08.2026, api-krs.ms.gov.pl; odpis aktualny KRS 0000108326, stan 24.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak powiazania politycznego - ale zyciorys wart odnotowania osobno. || UWAGA: to jest kariera przez cala Grupe PKP (Cargo, Polregio, Remtrak, dwie kadencje w zarzadzie WARS-u) zakonczona w radach nadzorczych spolek komunalnych Mazowsza. Bez kandydatury i bez deklaracji partyjnej strona nie ma czego do tego doczepic, ale gdyby ktos ciagnal watek WARS-u z pliku infokolej-leads.csv, ten czlowiek siedzial w tym zarzadzie rownoczesnie z Lucyna Roszyk i Elzbieta Nawrocka w radzie nadzorczej."
45,Piotr Dziubałtowski,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Wiceprezes zarzadu ds. wsparcia i rozwoju PGE POLSKA GRUPA ENERGETYCZNA SA (KRS 0000059307, publiczna) od 2026-08-05; potwierdzone, PESEL z cyfra 7. Rownoczesnie czlonek rady nadzorczej PGE Baltica i zarzadu osmiu spolek projektowych Baltica - w sumie dziewietnascie posad w grupie PGE i Tauron od 2012. ZRODLO: odpis aktualny KRS 0000059307, stan 05.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
46,Joanna Frondziak Kowalska,maybe,"Jedyny rekord PKW zgodny z dekada I z wojewodztwem pracodawcy: kandydatka Koalicyjnego Komitetu Wyborczego Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni do Sejmu w 2015 w okregu dolnoslaskim (teryt 02), bez rocznika. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - 48 rekordow pod nazwiskiem Kowalska, 29 odrzuconych po dekadzie, 19 zgodnych i rozrzuconych po calym kraju.","Czlonkini rady nadzorczej ZAKLADU USLUG ENERGETYCZNYCH ""EPEKOKS"" sp. z o.o. w Walbrzychu (KRS 0000148487, publiczna) od 2018-08-30, a od 2026-08-05 delegowana z rady do czasowego wykonywania czynnosci prezesa zarzadu; potwierdzone, PESEL z cyfra 7. Wczesniej w tej samej radzie 2014-2018 i w radzie Walbrzyskiej Elektrowni Wodorowej ""Victoria"" 2022-2024. ZRODLO: odpis aktualny KRS 0000148487, stan 05.08.2026, api-krs.ms.gov.pl","verdict=maybe || TEZA: jesli to ta sama osoba, kandydatka Zjednoczonej Lewicy z Dolnego Slaska przejmuje stery walbrzyskiej spolki energetycznej po osmiu latach w jej radzie nadzorczej. || UWAGA: nazwisko Kowalska jest najgorszym mozliwym przypadkiem dla tego rodzaju zlaczenia - 48 rekordow w wykazie, a kandydatura sejmowa nie ma rocznika, wiec jedyne, co je laczy, to wojewodztwo. Do tego w KRS wystepuje jako ""Frondziak Kowalska"", a w PKW szukalem obu czlonow osobno. Nie publikowac bez niezaleznego potwierdzenia - np. oswiadczenia majatkowego albo protokolu okregowego z 2015 z data urodzenia."
