nr,osoba,wynik,pozycja_w_kolejce,link,id,modele,wynik_bez_party_member,rejestr_io,partie,zatrudniony_od,posady,kandydatury
26,Ewa Malik,3.83,28,https://autopush.koryta.pl/osoba/Cf8pyKrczlGAhvmrSigl,Cf8pyKrczlGAhvmrSigl,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=1 pipeline-together=1 pipeline-turnover=4,3.65,https://rejestr.io/osoby/2751996,PiS,2024-05-21,"Rada Nadzorcza @ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY NR 5 IM. ŚW. BARBARY W SOSNOWCU (KRS 0000003544, publiczna) 2020-02-25–2023-12-21; Rada Nadzorcza @ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY NR 5 IM. ŚW. BARBARY W SOSNOWCU (KRS 0000003544, publiczna) 2024-05-21–nadal","1994 Samorząd; 2023 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość WYBRANY; 2005 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2014 Parlament Europejski Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS PKW-deklaracja: członek partii Prawo i Sprawiedliwość; 2002 Samorząd KWW Platforma Sprawiedliwości i Wolności z Karolem Winiarskim dla Sosnowca; 2011 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS PKW-deklaracja: członek partii Prawo i Sprawiedliwość WYBRANY; 2007 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2001 Sejm Komitet Wyborczy ""Prawo i Sprawiedliwość""; 2015 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2019 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość WYBRANY; 1998 Samorząd Komitet Wyborczy Akcja Wyborcza Solidarność; 2024 Parlament Europejski KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość"
27,Maciej Patryk Kupaj,3.83,29,https://autopush.koryta.pl/osoba/LBC8VWTrCL0j66rxxPEt,LBC8VWTrCL0j66rxxPEt,evidence=4 pipeline=3 pipeline-capture=5 pipeline-pagerank=3 pipeline-together=2 pipeline-turnover=4,3.65,https://rejestr.io/osoby/1301437,PO,2025-09-17,"Rada Nadzorcza @ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W LEGNICY (KRS 0000163872, publiczna) 2015-04-17–2020-06-18; Rada Nadzorcza @ STREFA 3D (KRS 0000427825, publiczna) 2012-07-25–nadal; Rada Nadzorcza @ TELEWIZJA TVD (KRS 0000468429, publiczna) 2013-07-04–2015-11-16; Rada Nadzorcza @ ZWIĄZEK PRACODAWCÓW POLSKA MIEDŹ (KRS 0000126828, prywatna/nieznana) 2025-09-17–nadal; Zarząd @ STOWARZYSZENIE FUNTRI (KRS 0000388672, prywatna/nieznana) 2011-06-09–2016-12-29",2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2002 Samorząd KWW POPIS; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY
28,Urszula Teresa Nowogórska,3.83,30,https://autopush.koryta.pl/osoba/Np2pr2D4yTdwMxwNDDb1,Np2pr2D4yTdwMxwNDDb1,evidence=4 pipeline=3 pipeline-capture=4 pipeline-pagerank=3 pipeline-succession=2 pipeline-turnover=5,3.66,https://rejestr.io/osoby/1043660,"PSL, Polska 2050",2024-12-23,"Zarząd @ MAŁOPOLSKA ORGANIZACJA TURYSTYCZNA (KRS 0000053654, publiczna) 2019-03-01–2019-07-05; Rada Nadzorcza @ SZPITAL SPECJALISTYCZNY IM. JĘDRZEJA ŚNIADECKIEGO W NOWYM SĄCZU (KRS 0000029409, publiczna) 2024-12-23–nadal; Rada Nadzorcza @ 5 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ-SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W KRAKOWIE (KRS 0000032272, publiczna) 2018-03-22–2021-04-26",2023 Sejm KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe WYBRANY; 2006 Samorząd Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2009 Parlament Europejski Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2019 Sejm KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL PKW-deklaracja: członek partii politycznej: PSL WYBRANY; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2024 Parlament Europejski KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe
29,Zbigniew Jan Ziemba,3.83,31,https://autopush.koryta.pl/osoba/p8Y16FBzohSHu1M6boMd,p8Y16FBzohSHu1M6boMd,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=1 pipeline-together=1 pipeline-turnover=4,3.65,https://rejestr.io/osoby/2751159,PiS,2024-03-06,"Rada Nadzorcza @ ZAKŁAD WODOCIĄGÓW I KANALIZACJI ""WOD.-KAN."" (KRS 0000109360, publiczna) 2020-02-27–2024-07-03; Rada Nadzorcza @ SZPITAL WOJEWÓDZKI IM. JANA PAWŁA II W BEŁCHATOWIE (KRS 0000006103, publiczna) 2024-03-06–2024-10-24",2024 Samorząd KWW WSPÓLNA GMINA MIESZKAŃCÓW PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2006 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2019 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS
30,Szymon Edward Zyberyng,3.82,32,https://autopush.koryta.pl/osoba/nYBANMhb0CmWWDgbGspK,nYBANMhb0CmWWDgbGspK,evidence=3 pipeline=4 pipeline-capture=4 pipeline-pagerank=3 pipeline-succession=5 pipeline-together=2 pipeline-turnover=4,3.82,https://rejestr.io/osoby/277771,PiS,2025-05-29,"Rada Nadzorcza @ ZAKŁAD GOSPODARKI CIEPŁOWNICZEJ W TOMASZOWIE MAZOWIECKIM (KRS 0000137016, publiczna) 2015-04-02–2020-01-09; Rada Nadzorcza @ ZAKŁAD GOSPODARKI CIEPŁOWNICZEJ W TOMASZOWIE MAZOWIECKIM (KRS 0000137016, publiczna) 2025-05-29–nadal; Rada Nadzorcza @ ZAKŁAD GOSPODARKI WODNO-KANALIZACYJNEJ W TOMASZOWIE MAZOWIECKIM (KRS 0000125241, publiczna) 2020-06-05–2025-01-23; Rada Nadzorcza @ INWESTYCJE MEDYCZNE ŁÓDZKIEGO (KRS 0000507870, publiczna) 2019-12-03–2022-02-09; Rada Nadzorcza @ PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ (KRS 0000045812, publiczna) 2007-03-20–2007-05-09; Rada Nadzorcza @ WODOCIĄGI MIEJSKIE W RADOMIU (KRS 0000033438, publiczna) 2007-03-19–2012-06-25; Rada Nadzorcza @ TOMASZOWSKIE CENTRUM ZDROWIA (KRS 0000312959, publiczna) 2020-02-28–2020-06-18","1991 Sejm Kongres Liberalno-Demokratyczny; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2001 Sejm Komitet Wyborczy ""Prawo i Sprawiedliwość""; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS"
31,Mirosław Duży,3.80,33,https://autopush.koryta.pl/osoba/ZzVGVRuQgPnmJQIbSceh,ZzVGVRuQgPnmJQIbSceh,evidence=4 pipeline=4 pipeline-capture=2 pipeline-facts=4 pipeline-pagerank=3 pipeline-succession=2 pipeline-together=1 pipeline-turnover=5,3.65,https://rejestr.io/osoby/1230136,PO,2025-08-29,"Rada Nadzorcza @ PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ (KRS 0000101552, publiczna) 2002-03-22–2011-04-19; Rada Nadzorcza @ FUNDUSZ GÓRNOŚLĄSKI (KRS 0000042922, prywatna/nieznana) 2024-07-24–nadal; Zarząd @ PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ I MIESZKANIOWEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000120669, publiczna) 2011-03-28–2019-01-08; Rada Nadzorcza @ ŚLĄSKIE CENTRUM REUMATOLOGII IM. GEN. JERZEGO ZIĘTKA W USTRONIU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000527630, publiczna) 2014-10-16–2019-05-24; Rada Nadzorcza @ REJONOWE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI W TYCHACH SPÓŁKA AKCYJNA (KRS 0000219629, prywatna/nieznana) 2019-07-10–2024-07-22; Rada Nadzorcza @ REJONOWE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI W TYCHACH SPÓŁKA AKCYJNA (KRS 0000219629, prywatna/nieznana) 2025-08-29–nadal; Rada Nadzorcza @ OŚRODEK TERAPII NERWIC DLA DZIECI I MŁODZIEŻY (KRS 0000039962, publiczna) 2018-06-07–nadal","2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2019 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 1998 Samorząd Zarząd Unii Wolności; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW FORUM SAMORZĄDOWE POWIATU MIKOŁOWSKIEGO WYBRANY; 2007 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2023 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 1994 Samorząd; 2015 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2006 Samorząd KW FORUM SAMORZĄDOWE DLA PRZYSZŁOŚCI; 2006 Samorząd Komitet Wyborczy ""FORUM SAMORZĄDOWE RAZEM DLA PRZYSZŁOŚCI""; 2002 Samorząd KW Stowarzyszenia Forum Samorządowe Razem dla Przyszłości WYBRANY; 2002 Samorząd KW Stowarzyszenia Forum Samorządowe Razem dla Przyszłości"
32,Marek Wojciech Michalik,3.80,34,https://autopush.koryta.pl/osoba/p0eUB8b3S2mlEBiYCjnQ,p0eUB8b3S2mlEBiYCjnQ,evidence=4 pipeline=4 pipeline-capture=2 pipeline-pagerank=2 pipeline-together=1 pipeline-turnover=5,3.61,https://rejestr.io/osoby/660434,PiS,2023-12-04,"Zarząd @ ŁÓDZKA SPECJALNA STREFA EKONOMICZNA (KRS 0000014128, publiczna) 2016-05-31–2024-07-03; Rada Nadzorcza @ STREFA EDUKACJI (KRS 0000752309, publiczna) 2023-12-04–2024-08-30; Rada Nadzorcza @ WOJEWÓDZKI ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ CENTRUM LECZENIA CHORÓB PŁUC I REHABILITACJI W ŁODZI (KRS 0000192656, publiczna) 2016-11-25–2024-12-12; Zarząd @ ZAKŁAD WODOCIĄGÓW I KANALIZACJI (KRS 0000045146, publiczna) 2003-01-14–2003-08-27",1993 Sejm Konfederacja Polski Niepodległej PKW-deklaracja: KPN; 2001 Sejm Koalicyjny Komitet Wyborczy - Akcja Wyborcza Solidarność Prawicy PKW-deklaracja: członek RS AWS; 1994 Samorząd; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 1991 Sejm Konfederacja Polski Niepodległej; 2023 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2015 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 1997 Sejm Komitet Wyborczy Akcja Wyborcza Solidarność; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 1998 Samorząd Komitet Wyborczy Akcja Wyborcza Solidarność; 2002 Samorząd KWW Inicjatywa Społeczna Wspólnota Samorządowa; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY
33,Jarosław Andrzej Marszałek,3.79,35,https://autopush.koryta.pl/osoba/ODCjdfkn5xpC7SF13zis,ODCjdfkn5xpC7SF13zis,evidence=4 pipeline=3 pipeline-capture=5 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=1 pipeline-turnover=4,3.61,https://rejestr.io/osoby/933753,SLD,2026-01-21,"Rada Nadzorcza @ OCZYSZCZALNIA ŚCIEKÓW ""WARTA"" (KRS 0000163419, publiczna) 2011-04-06–nadal; Rada Nadzorcza @ REGIONALNY FUNDUSZ GOSPODARCZY (KRS 0000100887, publiczna) 2005-07-19–2006-07-27; Zarząd @ PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI OKRĘGU CZĘSTOCHOWSKIEGO SPÓŁKA AKCYJNA W CZĘSTOCHOWIE (KRS 0000057953, prywatna/nieznana) 2026-01-21–nadal; Rada Nadzorcza @ SZPITAL MIEJSKI W SIEMIANOWICACH ŚLĄSKICH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000490160, publiczna) 2020-06-18–2022-02-08; Zarząd @ ZWIĄZEK GMIN I POWIATÓW SUBREGIONU PÓŁNOCNEGO WOJEWÓDZTWA ŚLĄSKIEGO (KRS 0000821458, prywatna/nieznana) 2024-07-01–2026-06-02; Rada Nadzorcza @ ZABRZAŃSKIE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI (KRS 0000043723, publiczna) 2021-12-14–nadal",2014 Parlament Europejski Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej-Unia Pracy PKW-deklaracja: członek partii Sojusz Lewicy Demokratycznej; 2024 Samorząd KKW LEWICA partia: SLD; 2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM partia: SLD; 2014 Samorząd Koalicyjny Komitet Wyborczy SLD Lewica Razem partia: SLD; 2015 Senat Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni; 2010 Samorząd KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ partia: SLD WYBRANY
34,Jan Dziubiński,3.79,36,https://autopush.koryta.pl/osoba/yHEuNdhpzRW5zNZPLX9F,yHEuNdhpzRW5zNZPLX9F,evidence=4 pipeline=4 pipeline-capture=5 pipeline-pagerank=2 pipeline-succession=4 pipeline-together=2 pipeline-turnover=3,3.61,https://rejestr.io/osoby/447793,PiS,2020-01-23,"Zarząd @ PODKARPACKIE STOWARZYSZENIE SAMORZĄDÓW TERYTORIALNYCH (KRS 0000008338, prywatna/nieznana) 2003-05-29–2011-05-20; Zarząd @ ZWIĄZEK MIAST POLSKICH (KRS 0000069153, prywatna/nieznana) 2007-06-06–2011-06-13; Rada Nadzorcza @ WOJEWÓDZKI SZPITAL IM.ZOFII Z ZAMOYSKICH TARNOWSKIEJ W TARNOBRZEGU (KRS 0000003145, publiczna) 2020-01-23–nadal",2002 Samorząd KWW Tarnobrzeskie Porozumienie Prawicy WYBRANY; 2014 Samorząd Komitet Wyborczy Wyborców Moje Miasto Tarnobrzeg; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2006 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2002 Samorząd KWW Tarnobrzeskie Porozumienie Prawicy; 2006 Samorząd KW Prawo i Sprawiedliwość partia: PiS; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 1998 Samorząd Komitet Wyborczy Akcja Wyborcza Solidarność; 1994 Samorząd; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW TARNOBRZESKIE POROZUMIENIE PRAWICY PKW-deklaracja: członek Prawa i Sprawiedliwości; 2002 Samorząd KWW Tarnobrzeskie Porozumienie Prawicy
35,Aleksandra Krzeszewska,3.78,37,https://autopush.koryta.pl/osoba/5w2MoBH3xdH37OOCdG5J,5w2MoBH3xdH37OOCdG5J,evidence=4 pipeline=4 pipeline-capture=5 pipeline-pagerank=2 pipeline-together=1 pipeline-turnover=3,3.59,https://rejestr.io/osoby/3319136,PO,2025-01-21,"Rada Nadzorcza @ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W LEGNICY (KRS 0000163872, publiczna) 2025-01-21–nadal",2023 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY
36,Tomasz Krzysztof Jachymek,3.77,38,https://autopush.koryta.pl/osoba/9Jd0leyEteAioe28YTgw,9Jd0leyEteAioe28YTgw,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=4 pipeline-together=1 pipeline-turnover=3,3.60,https://rejestr.io/osoby/19844,PiS,2024-07-03,"Rada Nadzorcza @ ZAKŁAD WODOCIĄGÓW I KANALIZACJI ""WOD.-KAN."" (KRS 0000109360, publiczna) 2024-07-03–2026-07-28; Rada Nadzorcza @ PRZEDSIĘBIORSTWO KOMUNIKACJI, TRANSPORTU I USŁUG KOMUNALNYCH GMINY BEŁCHATÓW (KRS 0000474757, publiczna) 2021-10-27–2025-01-28; Rada Nadzorcza @ SZPITAL WOJEWÓDZKI IM. JANA PAWŁA II W BEŁCHATOWIE (KRS 0000006103, publiczna) 2021-02-04–2024-10-24",2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: Prawo i Sprawiedliwość; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: Prawo i Sprawiedliwość WYBRANY; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS
37,Anzelm Jaśkiewicz,3.76,39,https://autopush.koryta.pl/osoba/MtEHjI5vYSRJASM7rK9P,MtEHjI5vYSRJASM7rK9P,evidence=3 pipeline=4 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=2 pipeline-together=1 pipeline-turnover=5,3.76,https://rejestr.io/osoby/2067822,PO,2024-07-04,"Prokurent @ PRZEDSIĘBIORSTWO ZARZĄDU NIERUCHOMOŚCIAMI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000141594, publiczna) 2003-12-11–2007-02-19; Rada Nadzorcza @ CENTRUM SPORTOWO REKREACYJNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000096393, publiczna) 2024-07-04–nadal; Rada Nadzorcza @ PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ (KRS 0000097505, prywatna/nieznana) 2007-02-22–2008-10-08",2002 Samorząd KWW HORYZONTY; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW RAFAŁA GRONICZA; 2024 Samorząd KWW RAFAŁA GRONICZA; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO WYBRANY; 2006 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 1994 Samorząd; 2014 Samorząd Komitet Wyborczy Wyborców Rafała Gronicza
38,Paweł Ryszard Kamiński,3.76,40,https://autopush.koryta.pl/osoba/m8yA3yzuSrlcPMlDF6WX,m8yA3yzuSrlcPMlDF6WX,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=3 pipeline-turnover=3,3.58,https://rejestr.io/osoby/463794,SLD,2001-09-28,"Rada Nadzorcza @ BOGATYŃSKIE WODOCIĄGI I OCZYSZCZALNIA (KRS 0000046613, publiczna) 2001-09-28–2005-02-14",2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD; 2001 Sejm Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy PKW-deklaracja: SLD; 2010 Samorząd KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ partia: SLD; 2011 Sejm Komitet Wyborczy Sojusz Lewicy Demokratycznej partia: SLD PKW-deklaracja: członek partii SLD
39,Robert Marek Starzyński,3.76,41,https://autopush.koryta.pl/osoba/u2pkEx0hJEiW9W5EGjSA,u2pkEx0hJEiW9W5EGjSA,evidence=3 pipeline=5 pipeline-capture=4 pipeline-pagerank=3 pipeline-turnover=3,3.76,https://rejestr.io/osoby/151604,,2024-09-19,"Zarząd @ RUCH SAMORZĄDOWY TAK! DLA POLSKI - DOLNY ŚLĄSK (KRS 0000903201, prywatna/nieznana) 2021-05-28–2026-07-21; Rada Nadzorcza @ LUBOMIERZ PS ENERGETYKA ODNAWIALNA SP. Z O.O. W LIKWIDACJI Z SIEDZIBĄ W LUBOMIERZU (KRS 0000645804, prywatna/nieznana) 2016-11-10–2018-09-17; Zarząd @ ELTUR-SERWIS (KRS 0000094021, publiczna) 2024-09-19–nadal","1998 Samorząd Komitet Wyborczy ""Kresowiacy""; 2006 Samorząd Komitet Wyborczy Wyborców Stowarzyszenie Dla Gminy Sulików; 2014 Samorząd Komitet Wyborczy Wyborców ISO - Porozumienie Prawicy 2014; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW INICJATYWA SAMORZĄDOWO-OBYWATELSKA 2010 WYBRANY; 2014 Samorząd Komitet Wyborczy Wyborców Roberta Starzyńskiego; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW ROBERTA STARZYŃSKIEGO WYBRANY; 2002 Samorząd KWW Gmina Sulików; 2024 Samorząd KWW ROBERTA STARZYŃSKIEGO PKW-deklaracja: nie należy do partii politycznej; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW INICJATYWA SAMORZĄDOWO-OBYWATELSKA 2010"
40,Tadeusz Trzmiel,3.75,42,https://autopush.koryta.pl/osoba/PDTyXpot2rN8QoVfQm9a,PDTyXpot2rN8QoVfQm9a,evidence=3 pipeline=4 pipeline-capture=5 pipeline-facts=4 pipeline-together=1 pipeline-turnover=3,3.75,https://rejestr.io/osoby/440711,SLD,2018-12-19,"Zarząd @ KRAKOWSKI HOLDING KOMUNALNY SPÓŁKA AKCYJNA W KRAKOWIE (KRS 0000006301, publiczna) 2018-12-19–2024-05-20; Zarząd @ STOWARZYSZENIE METROPOLIA KRAKOWSKA (KRS 0000514292, prywatna/nieznana) 2014-06-24–2019-04-08",2010 Samorząd KOMITET WYBORCZY WYBORCÓW JACKA MAJCHROWSKIEGO WYBRANY; 2006 Samorząd Komitet Wyborczy Wyborców Jacka Majchrowskiego; 1998 Samorząd Krajowy Komitet Wyborczy Sojuszu Lewicy Demokratycznej partia: SLD; 1997 Sejm Krajowy Komitet Wyborczy Sojuszu Lewicy Demokratycznej partia: SLD; 2014 Samorząd Komitet Wyborczy Wyborców Jacka Majchrowskiego; 1994 Samorząd
41,Paweł Środa,3.75,43,https://autopush.koryta.pl/osoba/jyRqbyoAVb3jsPWGEQCT,jyRqbyoAVb3jsPWGEQCT,evidence=3 pipeline=4 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=3 pipeline-together=2 pipeline-turnover=5,3.75,https://rejestr.io/osoby/783798,PO,2024-06-12,"Rada Nadzorcza @ PRZEDSIĘBIORSTWO KOMUNIKACJI SAMOCHODOWEJ ""SOKOŁÓW"" W SOKOŁOWIE PODLASKIM SPÓŁKA AKCYJNA (KRS 0000036783, publiczna) 2024-06-12–nadal; Rada Nadzorcza @ POLSKA IZBA GOSPODARCZA TRANSPORTU SAMOCHODOWEGO I SPEDYCJI (KRS 0000140203, prywatna/nieznana) 2017-02-22–2020-11-04; Rada Nadzorcza @ ZIELONOGÓRSKI RYNEK ROLNO-TOWAROWY (KRS 0000086641, publiczna) 2015-02-11–2016-06-29; Zarząd @ PRZEDSIĘBIORSTWO KOMUNIKACJI SAMOCHODOWEJ ""SOKOŁÓW"" W SOKOŁOWIE PODLASKIM SPÓŁKA AKCYJNA (KRS 0000036783, publiczna) 2014-12-12–2019-01-03; Rada Nadzorcza @ MAZOWIECKI SZPITAL WOJEWÓDZKI IM. ŚW. JANA PAWŁA II W SIEDLCACH (KRS 0000336825, publiczna) 2019-06-07–2021-10-13","2015 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW POWIATOWA WSPÓLNOTA SAMORZĄDOWA; 2014 Samorząd Komitet Wyborczy Wyborców Powiatowe Porozumienie Samorządowe; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW ""ZGODA I POROZUMIENIE"""
