nr,osoba,werdykt,connection,post,comment
60,Barbara Ewa Klatka,publish,"Radna Rady Miejskiej w Tomaszowie Mazowieckim, kadencja 2024-2029, KKW Koalicja Obywatelska, WYBRANY (1280 głosów, 16,11%); wcześniej dwukrotnie radna Rady Powiatu Tomaszowskiego; przegrana kandydatka na prezydenta miasta w 2024 roku (6168 głosów, 26,4%); PKW-deklaracja wskazuje ją jako członka Platformy Obywatelskiej RP od 2006 roku, z wcześniejszą wygraną WYBRANY w 2010 roku. | ZRODLO: https://www.portalsamorzadowy.pl/osoba/barbara-klatka,627.html ; rejestr.io/osoby/750963 i doniesienia rawik.pl (via WebSearch) nazywające ją Przewodniczącą RN Rawskie Wodociągi i Kanalizacja od 2025-04-25; live KRS OdpisAktualny KRS 0000069123 (rejestr=P, Expo-Łódź) i KRS 0000304455 (rejestr=P, Rawskie Wodociągi i Kanalizacja); koryta kandydatury field.","3 posady, dwie genuine i potwierdzone jako aktualne/historyczne (zwykłe spółki z o.o., nie rady społeczne - trap 1 nie ma zastosowania). Zarząd/Wiceprezes @ Expo-Łódź sp. z o.o. (KRS 0000069123) od 2018-12-28/2019-04-15, potwierdzone jako wciąż aktualne żywym KRS - siódmy rok z rzędu. Zarząd @ Miejska Arena Kultury i Sportu w Łodzi (KRS 0000331683), 2016-2019, zakończona - wcześniejsze płatne stanowisko pokrywające się z początkiem funkcji w Expo-Łódź (prawdopodobnie ta sama placówka - Atlas Arena - opisywana gdzie indziej nieformalnie). Rada Nadzorcza (przewodnicząca) @ Rawskie Wodociągi i Kanalizacja sp. z o.o. (KRS 0000304455) od 2025-04-25, potwierdzone jako aktualne żywym KRS - trzecie stanowisko w spółce publicznej, objęte około rok po przegranej w wyborach na prezydenta miasta w 2024 roku.","verdict=publish || TEZA: Barbara Ewa Klatka, radna Koalicji Obywatelskiej w Tomaszowie Mazowieckim, od siedmiu lat piastuje płatne stanowisko wiceprezesa Expo-Łódź i rok po przegranej w wyborach na prezydenta miasta w 2024 roku dołożyła przewodnictwo rady nadzorczej publicznego wodociągu. || UWAGA: Tożsamość mocna, zgodna we wszystkich niezależnych źródłach i pasująca dekada PESEL na obu wyciągach z żywego KRS. Weryfikator sprawdził niezależnie i nie odrzucił sprawy - wszystkie źródła otwarte i potwierdzone zgodnie z cytowaniem, oba kluczowe stanowiska (Expo-Łódź, Rawskie Wodociągi) bezpośrednio potwierdzone jako aktualne żywym KRS, obie spółki faktycznie publiczne, a wynik wyborów 2024 niezależnie potwierdzony ze zgodną liczbą głosów."
61,Antoni Skura,skip,"Przewodniczący Rady Powiatu w Zamościu od maja 2024 roku (PiS), WYBRANY 2024 (1227 głosów, 15,13%, okręg 4); radny powiatowy PiS, WYBRANY także w 2010 roku; kandydat PiS nieprzerwanie od 2010 roku, wcześniej kandydatury komitetu rolniczego (""Rolnicy"") w latach 1998-2006; Wiceprezes Lubelskiej Izby Rolniczej. | ZRODLO: kronikatygodnia.pl (6 maja 2024); portalsamorzadowy.pl candidate record; spzamosc.bip.lubelskie.pl dokument STAROSTY ZAMOJSKIEGO; powiatzamosc.esesja.pl radny profile; powiatzamojski.pl (10 października 2024); gminazamosc.pl (9 lutego 2026); wszystkie znalezione przez Brave Search, tylko fragmenty, dostęp 2026-09-05; live KRS OdpisAktualny KRS 0000077189 (rejestr=S).","Tylko 1 wpis posady, i to wykluczonego typu - Rada Społeczna @ Samodzielna Publiczna Stacja Pogotowia Ratunkowego i Transportu Sanitarnego w Zamościu (KRS 0000077189) od 2024-09-20, potwierdzone jako aktualne żywym KRS. supervisory_organ=rada_spoleczna, więc to trap 1 i nie może być drukowane jako stanowisko koryta; żadnego innego stanowiska w spółce nie ma.","verdict=skip || TEZA: Antoni Skura, przewodniczący Rady Powiatu w Zamościu z ramienia PiS od maja 2024 roku, zasiada wyłącznie w nieodpłatnej radzie społecznej szpitala - potężny lokalny polityk bez żadnego publikowalnego stanowiska koryta. || UWAGA: Powołanie do rady społecznej nastąpiło około cztery miesiące po objęciu funkcji przewodniczącego, co pasuje do rutynowego przydziału miejsc w organach regionalnych nowo wybranym lokalnym politykom, a nie do wzbogacenia. Źródła biograficzne czytane były jako fragmenty z Brave Search, nie pobrane pojedynczo w całości - warto je bezpośrednio zweryfikować przed publikacją czegokolwiek opartego na tym zapisie. Tożsamość mocna (rzadkie nazwisko, spójny profil PiS/rolniczy z Zamościa, inicjały z żywego KRS się zgadzają)."
62,Kacper Karol Pietrusiński,publish,"Radny m.st. Warszawy (klub Koalicja Obywatelska), kadencja 2024-2029, okręg nr 5 Bielany-Żoliborz - confirmed live on the official Rada Warszawy page, including his exact prior career (wiceburmistrz Bielan od XII 2006, burmistrz Rembertowa II 2013 - XII 2014). PO-affiliated candidacies on record from 2002 through 2024 (kandydatury tagged partia: PO throughout - 2002, 2010, 2014, 2018, 2024 Samorząd rows), a decades-long affiliation, but not literally 'since the party's founding': his 2001 Sejm candidacy under KWW Platforma Obywatelska carries a PKW self-declaration 'nie należy do partii politycznej', and the PO bio page originally cited for the founding claim (miasto-warszawa.platforma.org) is a dead, parked domain. | ZRODLO: https://um.warszawa.pl/waw/radawarszawy/-/kacpar-pietrusinski-radny (official, checked live 2026-09-05); next_hundred.json kandydatury field (PKW rows since 2001); live KRS OdpisAktualny for KRS 0000390180, 0000333366, 0000489878, 0000400197, 0000338846 via api-krs.ms.gov.pl, fetched 2026-09-05; krs_lookup.json; biometan.orlen.pl (confirms Orlen-Group branding of Orlen Biometan).","10 posady rows on record; 5 genuinely current after excluding two rada spoleczna seats (Mazowieckie Centrum Leczenia Chorób Płuc i Gruźlicy and SPZZLO Żoliborz-Bielany, both confirmed rada_spoleczna in krs_lookup.json, not rada nadzorcza). The 5 current posts, each re-confirmed live via api-krs.ms.gov.pl on 2026-09-05: członek Rady Nadzorczej, Mazowieckie Centrum Stomatologii, since 2025-07-02; and członek Zarządu at four companies in an Orlen-linked energy/biomethane cluster - CHP Energia (since 2024-12-02), Bioenergy Project (since 2024-11-19), Orlen Biometan (since 2024-08-08) and Bioutil (since 2024-10-29) - all four sharing an identical Prezes Zarządu across the cluster. Plus an ended Zarząd seat at the same Mazowieckie Centrum Stomatologii (2015-2024, before he moved to its RN), an ended RN seat at Przedsiębiorstwo Gospodarki Komunalnej (2019-2020), and a 2002-2003 board seat in PO's own youth-wing association (Młodzi Demokraci), which is not a company post.","verdict=publish || TEZA: A sitting Warsaw city councillor for Koalicja Obywatelska, with a PO-aligned candidacy record stretching back to 2002, holds five concurrent public-company posts, four of them landed in a single four-month burst in an Orlen-linked energy cluster within a year of the Dec 2023 change of national government and the same year he won his council seat. || UWAGA: Drop the 'PO member since the party's founding' framing - its only source (miasto-warszawa.platforma.org) is a dead, parked domain, and his own 2001 PKW candidacy declares no party membership; the decades of PO-tagged candidacies stand on their own without it. A verifier checked the rest of the record independently (elected office, both rada_spoleczna exclusions, all 5 current posts, the shared-board cluster, public ownership, and timing) and found no grounds to kill it."
63,Janusz Stanisław Kobyliński,publish,"Członek PiS - stated explicitly by the press in the same article reporting his company appointment ('Janusz Kobyliński jest członkiem PiS', Tygodnik Siedlecki, 26.09.2024, confirmed by direct fetch); PKW-deklaracja confirms membership on multiple ballots (2010, 2018, 2023). Burmistrz Łosic 2002-2014 (12 lat), radny powiatowy od 2014, kierownik ARiMR Łosice od II 2016, wybrany na starostę łosickiego w 2020, nieudany kandydat PiS do Sejmu w 2023 (14,05%), stracił funkcję starosty po wyborach samorządowych 2024, gdy koalicja Trzecia Droga-PSL + 'Od Nowa' przejęła powiat (nowy zarząd objął władzę ok. maja 2024), obecnie radny powiatu i przewodniczący komisji budżetowej. | ZRODLO: https://tygodniksiedlecki.com/artykul/janusz-kobylinski-byly-losicki-starosta-zostal-wiceprezesem-siedleckiego-pec-serwis-n1472974 (26.09.2024, fetched directly 2026-09-05); live KRS OdpisAktualny for KRS 0000044765 via api-krs.ms.gov.pl, fetched 2026-09-05 (stan z dnia 24.04.2026, member not suspended); next_hundred.json kandydatury field; krs_lookup.json; pl.wikipedia.org 'Wybory samorządowe w Polsce w 2024 roku' i 'Powiat Łosicki' (kadencja end dates).","6 posady rows; 1 genuinely current: członek Zarządu / wiceprezes, PEC Serwis (KRS 0000044765), since 2024-09-27, re-confirmed live on 2026-09-05. Plus 4 ended, genuine (non-rada-spoleczna) rada nadzorcza seats: Agencja Rozwoju Miasta Siedlce (2015-2016), PKS w Łosicach (2010-2016), Przedsiębiorstwo Usług Inżynieryjno-Komunalnych (2015-2021), and Energa Ciepło Ostrołęka (2018-2020) - the last excluded from the public-post count because koryta's own is_public computation flags it private/unclear (is_public_raw=false, no hardcoded override), not because it's rada spoleczna. Also 1 ended foundation board seat (Fundacja Ekoland, 2004-2007), not a company post.","verdict=publish || TEZA: A defeated PiS candidate for starosta of Łosice county was made vice-president of a neighbouring city's public heating company (PEC Serwis) within months of his own county government passing to a Trzecia Droga-PSL coalition. || UWAGA: The original 'two months after' framing overstates it - Polish 2024 local-council terms ran through 30 April 2024, so the new powiat łosicki leadership took over around early-to-mid May 2024, roughly 4.5-5 months before the 24 September 2024 PEC Serwis appointment; use 'within months' rather than 'two months'. PEC Serwis's ownership chain (via Przedsiębiorstwo Energetyczne w Siedlcach) rests on search snippets, not a primary BIP/statute document. A verifier independently confirmed the press quote, the identity, all rada_spoleczna/current-post checks, and public ownership, and found no grounds to kill it beyond that one wording fix."
64,Henryk Wiktor Pinis,skip,"None found - candidacies only, no party. | ZRODLO: none for a political connection - the sole company post (RN Wojewódzki Zakład Opieki Zdrowotnej nad Matką, Dzieckiem i Młodzieżą, KRS 0000002371) was confirmed live via api-krs.ms.gov.pl (rejestr=S) on 2026-09-05 as an explicit 'RADA SPOŁECZNA' organ; next_hundred.json kandydatury field records a long party-hopping candidacy history (KWW Sympatyków PiS 2002, Zarząd Automobilklubu Częstochowskiego 1998 - a club role, Komitet Wyborczy Ruch Patriotyczny 2005 Sejm, PiS-tagged 2004 European Parliament run, PO-tagged 2010/2014 Samorząd runs, SLD Lewica Razem-tagged 2018 Samorząd run) with no WYBRANY marker anywhere.","1 posady row total, 0 genuinely countable: the sole post is an unpaid Rada Społeczna seat at a SPZOZ (confirmed both in krs_lookup.json and independently against the live KRS extract fetched 2026-09-05), the category koryta.pl deliberately excludes, and it ended in 2020 regardless.","verdict=skip || TEZA: A serial candidate who has run for PO, PiS, SLD and assorted local committees since 1998 without ever winning has exactly one company post on record, and it is an excluded, unpaid hospital rada spoleczna. || UWAGA: Identity rests on the name and a rejestr.io profile URL alone (rejestr.io itself returned HTTP 403 to automated fetch); no independent press corroboration was found, and web-search budget was exhausted before a targeted check could be run. Not load-bearing given the skip verdict, but flag before any future revisit - do not revive this record on the PiS-tagged 2004 declaration alone, since the candidacy history switches parties three times with no wins."
65,Krzysztof Wiesław Hećman,publish,"Członek PSL - deklarowany na formularzach PKW w 2011 (Senat), 2019 (Sejm) i ponownie 2024 (jego własny komitet KWW Krzysztofa Hećmana Nasze Miasto Kętrzyn, WYBARNY - dokładny mandat z 2024 nie został niezależnie potwierdzony, więc nie należy twierdzić, że to mandat burmistrza). Wieloletni burmistrz Kętrzyna (1994-1998, 2000-2018, razem 24 lata), potem zastępca burmistrza Bartoszyc (2018-2024). W 2024 był bliski powrotu na fotel burmistrza Kętrzyna, ale wycofał się z II tury z przyczyn osobistych - potwierdzone bezpośrednio w prasie. | ZRODLO: https://tygodnikketrzynski.pl/pl/11_wiadomosci/228266_krzysztof-hecman-jako-jedyny-z-powiatu-odznaczony-przez-wojewode.html (fetched directly 2026-09-05); live KRS OdpisAktualny for KRS 0000192305 via api-krs.ms.gov.pl, fetched 2026-09-05 (stan z dnia 06.07.2026, single shareholder Gmina Miejska Kętrzyn holding 100% of shares); next_hundred.json kandydatury field (PKW-deklaracje PSL 2011/2019/2024); krs_lookup.json.","3 posady rows; 1 genuinely current: sole Prezes Zarządu, Miejskie Wodociągi i Kanalizacja w Kętrzynie (KRS 0000192305, 100% owned by Gmina Miejska Kętrzyn per the live KRS odpis), since 2024-10-11, re-confirmed live on 2026-09-05 as a one-person Zarząd. Plus 2 ended, genuine rada nadzorcza seats (none rada spoleczna): Warmińsko-Mazurska Agencja Rozwoju Regionalnego S.A. (2015-2016) and Zakład Gospodarki Komunalnej w Barcianach (2016-2019).","verdict=publish || TEZA: Kętrzyn's mayor for 24 of the last 30 years and a declared PSL member since at least 2011 came within one election round of the mayoralty again in 2024, then weeks after withdrawing was installed as sole president of the city's water utility. || UWAGA: Do not state he won the 2024 mayoral race, and do not assert which office the 2024 WYBRANY tag refers to - the press is explicit only that he withdrew from the mayoral runoff, and the exact 2024 mandate was not independently confirmed (web-search budget exhausted). A verifier independently confirmed the press connection, the identity, both rada_nadzorcza checks, the current single-officer post, 100% municipal ownership, and the PSL declarations, and found no grounds to kill it beyond this one caveat, calling it 'stronger than the median case in this batch.'"
66,Władysław Filar,skip,"Dwukrotnie WYBRANY radny (2010, 2024) z komitetów Prawa i Sprawiedliwości w rejonie Zakopanego; wieloletni kandydat PiS od 2006 (KW Prawo i Sprawiedliwość, tagged partia: PiS, w 2006, 2010, 2014, 2018), plus wcześniejsze lokalne komitety (Klub im. Władysława Zamoyskiego w Zakopanem 2002, Koalicja Solidarni Ponad Podziałami 1998). | ZRODLO: next_hundred.json kandydatury field (PKW rows, WYBRANY markers 2010 i 2024); live KRS OdpisAktualny (rejestr=S) for KRS 0000007565 via api-krs.ms.gov.pl, fetched 2026-09-05.","1 posady row total, 0 genuinely countable: the sole post (RN Szpital Specjalistyczny Chorób Płuc 'Odrodzenie' im. Klary Jelskiej w Zakopanem, KRS 0000007565, since 2024-09-13, currently held) is an explicit Rada Społeczna seat, confirmed both in krs_lookup.json and independently against the live KRS extract fetched 2026-09-05 - the category koryta.pl deliberately excludes, even though the post is genuinely current.","verdict=skip || TEZA: A twice-elected PiS local councillor near Zakopane has exactly one company post on record, and it is an excluded, unpaid hospital rada spoleczna, leaving no public-company seat to publish against his political record. || UWAGA: Identity is moderate only - live KRS shows a Władysław F**** matching name/PESEL prefix and the hospital's Zakopane location matches his candidacy area, but no independent press corroboration was found (web-search budget exhausted before a targeted check of his council seat could be run). Before any future revisit, verify via press/BIP that the 2010 and 2024 WYBRANY wins correspond to a genuine council seat for this same Władysław Filar, and confirm there is no other company post attached to him elsewhere in KRS."
67,Piotr Zygmunt Machaj,publish,"Sitting wójt of Gmina Zgorzelec (rural commune), serving the 2024-2029 term after winning reelection with 1,968 votes (57.88%) from KWW Ponad Podziałami (PKW-deklaracja: nie należy do partii politycznej). Confirmed WYBRANY also in 2018 and 2010; koryta's kandydatury field traces an earlier career back to 1994 as gmina radny, wiceprzewodniczący rady gminy from 2002, then zastępca wójta - but carries no WYBRANY tag for 2014, so the precise year he first became wójt, and the exact count of reelections, is not documented (treat 'wójt since ~2014' as inference, not fact). In 2002 he ran on the Koalicyjny KW SLD-UP list (partia: SLD). | ZRODLO: https://www.portalsamorzadowy.pl/osoba/piotr-machaj,101257.html; https://samorzad2024.pkw.gov.pl/samorzad2024/pl/wbp/kandydat/3355304; pl.wikipedia.org/wiki/Gmina_Zgorzelec ('Wójt: Piotr Machaj'); koryta kandydatury field.","3 posady total, all now ended, none currently held. All three are genuine rada nadzorcza seats (not rada spoleczna) at publicly owned companies: PWiK 'Nysa' (2002-2003), Miejskie Przedsiębiorstwo Gospodarki Komunalnej (2004-2007), and Centrum Sportowo Rekreacyjne (2019-2024) - the last confirmed via live KRS pull to be owned by Gmina Miejska Zgorzelec (the neighboring town), not by the rural Gmina Zgorzelec he heads, so it should not be framed as self-patronage.","verdict=publish || TEZA: Piotr Zygmunt Machaj is the sitting, just-reelected (2024-2029, 57.88%) wójt of Gmina Zgorzelec, on top of a three-decade local-government career and three now-ended public-company supervisory seats. || UWAGA: A verifier checked this independently and did not find grounds to kill it, but flagged two wording fixes now folded into the connection above: soften 'twice-reelected...since roughly 2014' since koryta's own kandydatury field carries no 2014 WYBRANY tag; and keep the caution that the Centrum Sportowo Rekreacyjne board seat belongs to the neighboring town's gmina, independently confirmed via live KRS ownership data - do not imply he appointed himself from his own commune."
68,Wiesława Krawczyk,publish,"Four-term radna Sejmiku Województwa Mazowieckiego on the PSL list (candidacies tagged partia: PSL in 2002, 2006, 2010-WYBRANY, 2014, 2018), including a term as wiceprzewodnicząca sejmiku in the 4th kadencja; ran on the KKW Trzecia Droga PSL-PL2050 list in 2024. Re-entered the sejmik in November 2023 via list-succession, taking the seat vacated by Mirosław Orliński after he won a Sejm mandate - but only for the remainder of the outgoing 2018-2023 (VI) term. She is NOT a sitting radna today: the verifier checked mazovia.pl's live VII-kadencja (2024-2029) roster and found her absent from it, present only on the closed VI-kadencja page. | ZRODLO: https://www.tvciechanow.pl/wieslawa-krawczyk-oficjalnie-radna-sejmiku-wojewodztwa-mazowieckiego/ (direct quote from her confirming the Orliński succession, 'radna 4 kadencji... do 2018 r.'); https://www.infoprzasnysz.com/wieslawa-krawczyk-oficjalnie-radna-sejmiku-wojewodztwa-mazowieckiego/ (PSL list 2, 2018-succession mechanism - does NOT state a '5,434 votes' figure, contra an earlier draft); https://mazovia.pl/pl/bip/sejmik/radni-wojewodztwa/krawczyk-wieslawa.html (BIP, 'od XI 2023 r. - mandat po A. Orlińskim', a BIP-side initial inconsistency against the press-confirmed 'Mirosław'); live KRS OdpisAktualny for KRS 0000336825, pulled 2026-09-05; koryta kandydatury field.","4 posady total. 2 of 4 are rada spoleczna - Specjalistyczny Szpital Wojewódzki w Ciechanowie (2019-2021) and Międzyleski Szpital Specjalistyczny w Warszawie (2012-2016) - and are excluded, not genuine trough seats. The other 2 are real rada nadzorcza and publicly owned: Instytucja Filmowa 'Max-Film' SA (2022, ended 2024-03-14) and Mazowiecki Szpital Wojewódzki w Siedlcach (a sp. z o.o., since 2024-07-08, still current - confirmed live via KRS API on 2026-09-05).","verdict=publish || TEZA: Wiesława Krawczyk, a four-term PSL regional-assembly councillor (most recently reseated by succession Nov 2023-Apr 2024) who was rotated through four Mazowieckie hospital/cultural-institution boards over 12 years, holds a currently open rada nadzorcza seat at the Siedlce voivodeship hospital. || UWAGA: A verifier checked this independently and did not find grounds to kill it, but required two corrections folded into the connection above: drop the '5,434 votes' figure (not present in the cited article), and do not describe her as a currently sitting sejmik radna - she is confirmed absent from the live 2024-2029 roster, a former officeholder only. Identity is solid but not airtight: the live-KRS board member is only initialed, matched via surname/first-name/PESEL-decade/region/party convergence rather than a spelled-out name."
69,Czesław Alfred Kwaśniak,publish,"Coordinator of ZChR's (Zjednoczenie Chrześcijańskich Rodzin) structure-building effort and 'jedynka' (list leader) for Konfederacja in the Tarnów Sejm district in 2019 (PKW-deklaracja: członek partii politycznej Zjednoczenie Chrześcijańskich Rodzin); earlier a Sejmik Małopolskie radny from 1998 (AWS, later LPR); a 2024 local candidate on the KKW Trzecia Droga PSL-PL2050 list; and since June 2024 a member (wiceprzewodniczący per rejestr.io's reading of the EGM resolution - unconfirmed directly in the KRS filing itself, which carries no internal-title field) of the Rada Nadzorcza of AMW TBS 'Kwatera', a company supervised by the Ministry of Defence, which PSL leader Władysław Kosiniak-Kamysz heads. A claim that he lost his sejmik mandate in 2005 over a drunk-driving conviction could not be substantiated - the verifier opened the source article itself and found it exists only in anonymous reader comments below it, not in the reporting, with no corroboration found elsewhere, so it is dropped here. | ZRODLO: https://archiwum.informatorbrzeski.pl/czeslaw-kwasniak-liderem-listy-konfederacji-w-okregu-tarnowskim/ ('W nadchodzących wyborach do parlamentu mam zaszczyt być liderem listy Konfederacji w okręgu tarnowskim'); https://kt24.pl/czeslaw-kwasniak-jedynka-do-sejmu/ (AWS sejmik seat 1998, later LPR); rejestr.io powiazania page for KRS 0000140528 (EGM resolution date ~4 June 2024 - page later returned 403 on recheck); live KRS OdpisAktualny for KRS 0000140528, pulled 2026-09-05; koryta kandydatury field, 2019 Sejm row.","8 posady total; 7 have ended (2003-2024). Only 1 is currently open: AMW TBS 'Kwatera' (since 2024-06-19), a real rada nadzorcza seat (not rada spoleczna) at a genuinely publicly owned company (Ministry of Defence / AMW group) - confirmed both by the rejestr.io corporate-action record and by a live KRS API pull on 2026-09-05.","verdict=publish || TEZA: A former sejmik councillor and structure-building coordinator for two fringe right-wing parties (ZChR, then Konfederacja's 2019 Sejm list) landed on the supervisory board of a Ministry of Defence-supervised state company two months after his own 2024 local candidacy for the PSL-led Trzecia Droga. || UWAGA: A verifier checked this independently and did not find grounds to kill it, but required dropping the unsourced 2005 DUI/mandate-loss claim (reader-comment-only) and softening 'krajowy koordynator' (national) to plain 'koordynator budowy struktur ZChR', since neither source uses 'krajowy' - both changes are folded into the connection above. The AMW-patronage framing is a documented general pattern (Polsatnews/Interia reporting on PSL appointees across the AMW group), not an article naming him individually - stated here as 'consistent with', not 'reported as part of'."
70,Bogdan Marek Pęk,publish,"Sitting radny Sejmiku Województwa Małopolskiego for PiS, 2024-2029 term (okręg 2, 18,529 votes, 9.87%); poseł na Sejm II-IV kadencji (1993-2004); MEP for the VI kadencja (2004-2009); senator for the VIII kadencja (2011-2015, PiS); party path ZSL/PSL (1984-2002) then LPR (2002-2005) then Forum Polskie/Naprzód Polska (2008-2010) then PiS (from Nov 2010); father of Marek Pęk, Senate vice-marshal - a relationship stated explicitly by tvn24, not merely a shared surname. | ZRODLO: https://www.portalsamorzadowy.pl/osoba/bogdan-pek,12870.html (sejmik 2024-2029, okręg 2, 18,529 votes; earlier sejmik terms 1998-2001, 2010, 2018; Sejm II-IV; Senat 2011; PE 2004-2009); pl.wikipedia.org/wiki/Bogdan_Pęk (full party history, born 8 April 1953 Kraków); https://www.senat.gov.pl/sklad/senatorowie/senator,40,8,bogdan-pek.html; https://tvn24.pl/polska/marek-pek-wicemarszalkiem-senatu-to-syn-bogdana-peka-ra947722-ls2289478 ('Marek Pęk to syn... Bogdana Pęka'); live KRS OdpisAktualny for KRS 0000280873, pulled 2026-09-05.","5 posady total. 2 of 5 (Krakowski Szpital Specjalistyczny im. Św. Jana Pawła II, Małopolski Szpital Ortopedyczno-Rehabilitacyjny) are rada spoleczna and excluded. Bank Pocztowy (2016-2017, ended) is in fact genuinely publicly owned (jointly held by Poczta Polska and PKO BP, both state-controlled) rather than 'prywatna/nieznana' as first drafted - a verifier correction that doesn't change the count materially since the post ended nearly a decade ago. The 2 load-bearing posts are real rada nadzorcza seats: Zakład Wodociągów i Kanalizacji (2022-2026, now ended) and Szpital Miejski w Rabce-Zdroju (a sp. z o.o. wholly owned by Gmina Rabka-Zdrój, since 2026-04-23, still current - confirmed live via KRS on 2026-09-05).","verdict=publish || TEZA: A nationally prominent career PiS politician - ex-MP, ex-MEP, ex-senator, and currently a sitting Małopolskie sejmik radny - picked up a fresh public hospital board seat in April 2026, two years into his current sejmik term. || UWAGA: A verifier checked this independently and did not find grounds to kill it; the only correction is an accounting fix folded into the post field above (Bank Pocztowy counts as publicly owned, not private/unknown), which is not load-bearing. Identity is very strong: this is a nationally known figure whose full record (Wikipedia, Senate site, portalsamorzadowy) matches exactly."
71,Janusz Stefan Mękarski,publish,"Wiceprzewodniczący zarządu (vice-chairman) of Koalicja Obywatelska's Bełchatów city board since the 18-19 February 2026 reorganization - a current, named party office; earlier chairman of PO's Bełchatów miejskie koło (reconfirmed in office 2010) and wiceprezydent (deputy mayor) of Bełchatów, rising by 2015 to chairman of PO's powiat (county) board; koryta's kandydatury field also tags him WYBRANY as a PO radny in 2010, though that specific election result could not be independently re-verified this session (WebSearch budget exhausted) - not load-bearing given the rest of the record. | ZRODLO: https://ddbelchatow.pl/wydarzenia/polityczne-przetasowania-w-belchatowie-dyrektor-z-kopalni-na-czele-koalicji-obywatelskiej/QwXaArHOCzLGB7x5jmAl ('Na wiceprzewodniczących zostali mianowani również starosta bełchatowski Jacek Zatorski oraz Janusz Mękarski'); https://belchatow.naszemiasto.pl/w-belchatowie-platforma-wybrala-szefow/ar/c1-340834 (2010-03-09, 'Przewodniczącym został ponownie Janusz Mękarski (wiceprezydent Bełchatowa)'); https://belchatow.naszemiasto.pl/belchatow-platforma-obywatelska-z-nowym-zarzadem-kola/ar/c1-3319753 (2015-03-19, 'były wiceprezydent Bełchatowa i przewodniczący zarządu powiatu PO'); live KRS OdpisAktualny for KRS 0000302235 and KRS 0000211991, both pulled 2026-09-05.","4 posady total. 1 is rada spoleczna (Szpital Wojewódzki im. Jana Pawła II w Bełchatowie, 2012-2017, historical, excluded). 2 are currently open ('nadal') and confirmed live via KRS API on 2026-09-05: Przedsiębiorstwo Komunikacji Samochodowej w Bełchatowie (real rada nadzorcza, 100% owned by Powiat Bełchatowski, since 2024-11-22) and ELMEN (a Zarząd seat - Wiceprezes Zarządu, an executive rather than merely supervisory post - wholly owned by the state-controlled PGE group, since 2025-04-25). A fourth, past Zarząd seat at Zakład Wodociągów i Kanalizacji 'Wod.-Kan.' ran 2005-2008.","verdict=publish || TEZA: A currently sitting vice-chairman of Koalicja Obywatelska's Bełchatów city board and former deputy mayor of the town now sits concurrently on a supervisory board and an executive management board of two publicly owned Bełchatów-area companies. || UWAGA: A verifier checked this independently and did not find grounds to kill it - confirmed the Feb-2026 KO vice-chairmanship, both current company posts by live KRS pull and direct ownership check (Powiat Bełchatowski for PKS, the PGE group for ELMEN), and the rada spoleczna exclusion. One open item, not load-bearing: the 2010 PO 'WYBRANY' councillor election could not be independently re-verified this session (WebSearch budget exhausted)."
72,Bogdan Józef Mielnik,skip,"Candidacy-only, and thin: 2002 Samorząd candidacy on Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy (SLD-UP) list, tagged partia: SLD, unelected - the PKW's own archived 2002 Bogatynia results page does not list him among the winners. Two further candidacies, 1998 Blok Wyborczy 'Wspólnota Samorządowa' and 2010 KWW 'Wspólny Powiat 2010+', carry no party tag and no WYBRANY flag either. | ZRODLO: koryta record's own kandydatury field (2002/1998/2010 rows); wybory2002.pkw.gov.pl/grada/gw1/w02/p0225/g022503/index.html (2002 Rada Gminy Bogatynia results page, fetched - no Mielnik among elected candidates); rejestr.io/krs/46613/bogatynskie-wodociagi-i-oczyszczalnia (company profile, no bio detail found).","One post total: Rada Nadzorcza @ Bogatyńskie Wodociągi i Oczyszczalnia S.A. (KRS 0000046613), genuinely a rada_nadzorcza per krs_lookup (not a rada_spoleczna trough post), but it ran only 2005-02-14 to 2007-01-03 - under two years, ended almost 19 years ago - and it is his only company post of any kind.","verdict=skip || TEZA: A thin, unelected 2002 SLD-ticket candidacy paired with a genuine but two-decade-defunct supervisory seat gives nothing to build a page on. || UWAGA: Identity check is weak - the join rests entirely on the pipeline's own name+birth-year match, with no press or BIP source naming this Bogdan (Józef) Mielnik alongside either the KRS seat or the candidacy; the only external hits for the full name are an unrelated Mexico-based physicist (1936-2019). Do not publish without confirming the two records are the same person."
